month,employee_count,wage_bill,pf_contribution_amount,pf_contribution_on_time,employee_churn_rate
2025-07,16,256260.64,61502.55,True,0.0252
2025-08,16,262713.06,63051.13,True,0.0412
2025-09,18,286882.36,68851.77,True,0.04
2025-10,19,299835.16,71960.44,True,0.0321
2025-11,18,288619.56,69268.69,True,0.0207
2025-12,18,289191.1,69405.86,True,0.0412
2026-01,18,291568.26,69976.38,True,0.0486
2026-02,18,285163.58,68439.26,True,0.0293
2026-03,18,289233.03,69415.93,True,0.0292
2026-04,18,305952.21,73428.53,True,0.0376
2026-05,17,285001.63,68400.39,True,0.0307
2026-06,18,298795.95,71711.03,True,0.0371
