date,inflow_amount,outflow_amount,transaction_count,unique_counterparty_count,refund_rate
2025-07-01,213869.57,183490.7,3,3,0.0065
2025-07-02,260314.57,227311.05,5,2,0.004
2025-07-03,207563.56,158825.99,7,6,0.0091
2025-07-04,207286.3,164655.95,6,3,0.0
2025-07-05,90320.66,68152.86,4,3,0.0077
2025-07-06,160101.5,124021.65,3,3,0.0041
2025-07-07,285715.25,251130.43,5,5,0.0061
2025-07-08,194775.72,161037.82,3,4,0.0051
2025-07-09,235254.35,195441.6,1,3,0.0
2025-07-10,248933.01,215222.97,9,4,0.0
2025-07-11,249634.05,215035.53,7,7,0.0052
2025-07-12,91129.74,69962.04,2,1,0.0
2025-07-13,111672.81,93541.5,5,1,0.0077
2025-07-14,300175.0,230237.81,5,4,0.0024
2025-07-15,262276.0,206773.11,5,5,0.0093
2025-07-16,329912.44,251852.82,7,7,0.0001
2025-07-17,264651.26,215171.64,2,6,0.0048
2025-07-18,255158.92,212475.66,1,6,0.0119
2025-07-19,110155.87,82654.64,4,3,0.0041
2025-07-20,170077.78,137618.91,4,0,0.0041
2025-07-21,265847.59,193612.79,4,3,0.0073
2025-07-22,339463.72,274817.05,9,8,0.0
2025-07-23,308952.86,249107.39,5,3,0.005
2025-07-24,279036.05,218551.06,5,5,0.0025
2025-07-25,352505.72,278315.78,6,4,0.002
2025-07-26,197012.25,152271.16,2,6,0.0086
2025-07-27,101952.73,82349.93,5,2,0.0056
2025-07-28,250300.44,216458.21,9,2,0.0049
2025-07-29,254460.35,190172.37,8,9,0.0061
2025-07-30,247295.76,208948.5,10,4,0.0039
2025-07-31,127788.17,92584.46,5,1,0.0052
2025-08-01,355272.18,276022.13,4,8,0.0046
2025-08-02,159629.96,125469.81,3,3,0.0072
2025-08-03,126862.43,98722.21,4,1,0.0028
2025-08-04,281731.77,212653.78,2,3,0.0031
2025-08-05,253523.98,190919.41,7,6,0.0047
2025-08-06,347759.51,288882.0,4,3,0.005
2025-08-07,253555.76,184581.94,5,1,0.0037
2025-08-08,265681.42,217532.3,5,6,0.0046
2025-08-09,97655.44,74936.14,3,1,0.0049
2025-08-10,105025.72,76071.33,1,1,0.0
2025-08-11,0.0,0.0,0,0,0.0
2025-08-12,214231.19,152688.23,8,5,0.005
2025-08-13,169715.34,146251.62,3,1,0.0144
2025-08-14,245451.41,183506.32,6,1,0.003
2025-08-15,269248.09,198018.98,9,2,0.0029
2025-08-16,144058.09,120509.41,2,2,0.0075
2025-08-17,107979.51,85379.33,4,4,0.0014
2025-08-18,271855.56,204308.21,5,4,0.0073
2025-08-19,276682.35,231561.48,4,5,0.002
2025-08-20,246678.81,194102.88,2,4,0.0009
2025-08-21,280893.47,229534.86,7,3,0.0
2025-08-22,271516.69,228486.51,5,1,0.0059
2025-08-23,96940.34,71523.32,3,3,0.0013
2025-08-24,127606.71,97970.69,3,3,0.009
2025-08-25,240242.37,192227.51,5,7,0.0076
2025-08-26,226263.84,183261.86,3,2,0.0022
2025-08-27,346477.15,282570.6,9,8,0.0054
2025-08-28,211789.83,156652.54,4,6,0.0071
2025-08-29,370237.61,311254.02,6,12,0.0007
2025-08-30,113812.22,84391.31,7,3,0.0081
2025-08-31,170919.3,143846.23,4,5,0.0033
2025-09-01,261812.13,203259.02,9,1,0.0048
2025-09-02,358412.57,283944.75,9,9,0.0019
2025-09-03,267995.71,206749.88,7,6,0.0055
2025-09-04,215506.26,169357.26,11,0,0.0
2025-09-05,309567.19,262604.45,4,3,0.0071
2025-09-06,129346.98,103253.3,2,4,0.0002
2025-09-07,126062.08,100481.4,8,2,0.0015
2025-09-08,255369.2,209727.23,6,3,0.0077
