tax_period,return_type,due_date,filing_date,filing_delay_days,turnover_reported_gstr1,turnover_reported_gstr3b,itc_claimed,mismatch_flag
2025-07-01,GSTR-1/3B,2025-08-20,2025-08-20,0,813134.33,813134.33,95857.17,False
2025-08-01,GSTR-1/3B,2025-09-20,2025-09-20,0,780222.92,780222.92,126772.62,False
2025-09-01,GSTR-1/3B,2025-10-20,2025-10-20,0,805043.78,805043.78,99615.85,False
2025-10-01,GSTR-1/3B,2025-11-20,2025-11-24,4,1216974.73,1216974.73,113855.15,False
2025-11-01,GSTR-1/3B,2025-12-20,2025-12-20,0,1283411.55,1283411.55,142132.88,False
2025-12-01,GSTR-1/3B,2026-01-20,2026-01-21,1,1125243.94,1125243.94,89581.57,False
2026-01-01,GSTR-1/3B,2026-02-20,2026-02-20,0,981376.88,981376.88,152926.72,False
2026-02-01,GSTR-1/3B,2026-03-20,2026-03-20,0,1054057.19,1054057.19,157416.39,False
2026-03-01,GSTR-1/3B,2026-04-20,2026-04-20,0,991981.96,991981.96,107326.27,False
2026-04-01,GSTR-1/3B,2026-05-20,2026-05-21,1,960253.98,960253.98,101158.76,False
2026-05-01,GSTR-1/3B,2026-06-20,2026-06-20,0,885303.6,885303.6,124012.26,False
2026-06-01,GSTR-1/3B,2026-07-20,2026-07-21,1,946494.5,946494.5,97291.4,False
